Student_ID,Gender,Age,Study_Hours_Per_Day,Attendance_Rate,Math_Score,Science_Score,Extracurricular_Activity
STU001,Male,,2.5,85.5,75.0,95.0,No
STU002,Female,20.0,1.0,85.5,75.0,70.0,No
STU003,Female,22.0,4.0,75.0,82.0,80.0,Yes
STU004,Female,21.0,5.5,88.0,92.0,70.0,nan
STU005,Male,20.0,6.5,90.0,92.0,65.0,Yes
STU006,Male,22.0,4.0,95.0,88.0,85.0,Yes
STU007,Male,18.0,5.5,60.5,82.0,95.0,No
STU008,Female,18.0,3.0,90.0,90.0,85.0,No
STU009,Female,18.0,4.0,88.0,92.0,85.0,nan
STU010,Female,19.0,2.5,,60.0,95.0,Yes
STU011,Male,19.0,4.0,60.5,,80.0,No
STU012,Other,19.0,2.5,,82.0,65.0,No
STU013,Female,21.0,6.5,75.0,,70.0,nan
STU014,Male,19.0,3.0,75.0,75.0,55.0,Yes
STU015,Male,19.0,1.0,85.5,60.0,70.0,Yes
STU016,Male,20.0,6.5,,60.0,55.0,Yes
STU017,Male,18.0,3.0,88.0,75.0,70.0,Yes
STU018,Female,21.0,2.5,95.0,82.0,95.0,Yes
STU019,Male,18.0,6.5,60.5,75.0,65.0,Yes
STU020,Male,,5.5,90.0,,55.0,Yes
STU021,Female,20.0,3.0,88.0,88.0,,No
STU022,Male,18.0,6.5,88.0,60.0,80.0,nan
STU023,Male,18.0,4.0,75.0,45.0,70.0,Yes
STU024,Male,21.0,2.5,,45.0,70.0,Yes
STU025,Male,20.0,4.0,85.5,,55.0,No
STU026,Female,20.0,5.5,85.5,90.0,80.0,Yes
STU027,Male,20.0,3.0,60.5,92.0,80.0,Yes
STU028,Female,18.0,6.5,75.0,75.0,95.0,Yes
STU029,Female,19.0,2.5,88.0,75.0,,Yes
STU030,Male,18.0,5.5,95.0,90.0,95.0,No
STU031,Female,21.0,5.5,75.0,90.0,95.0,Yes
STU032,Male,20.0,4.0,60.5,,95.0,No
STU033,Male,19.0,2.5,60.5,,95.0,No
STU034,Female,18.0,4.0,75.0,90.0,95.0,Yes
STU035,Other,19.0,6.5,60.5,60.0,65.0,Yes
STU036,Female,19.0,4.0,75.0,,80.0,Yes
STU037,Male,20.0,5.5,90.0,88.0,95.0,No
STU038,Male,20.0,1.0,75.0,,80.0,Yes
STU039,Female,21.0,4.0,,75.0,80.0,Yes
STU040,Male,19.0,,75.0,,85.0,No
STU041,Male,18.0,,60.5,60.0,65.0,Yes
STU042,Female,20.0,4.0,,90.0,95.0,Yes
STU043,Male,20.0,5.5,60.5,75.0,70.0,Yes
STU044,Female,20.0,4.0,85.5,,55.0,Yes
STU045,Male,20.0,4.0,85.5,60.0,,No
STU046,Female,19.0,2.5,,88.0,70.0,Yes
STU047,Male,20.0,1.0,90.0,,65.0,No
STU048,Female,19.0,5.5,85.5,60.0,55.0,Yes
STU049,Female,18.0,2.5,75.0,88.0,65.0,No
STU050,Male,18.0,4.0,60.5,90.0,80.0,Yes
